correlation_id,execution_id,train_percentage,noise,label_noise,is_bayesian,beta,loss_training,loss_testing,duration,end_condition,n_parameters,n_nodes,n_connections,n_layers,mean_genome_std,accuracy,precision,recall,f1,ece,absolute_best,dataset,Version
bayesian_neat_ft_final_v1_titanic,eeb46917-f3f4-4c3f-aaba-d39a2fbe3cc3,0.75,0.0,0.0,True,0.0001,0.5094544887542725,0.5531252026557922,0:35:49.489197,normal,118,17,42,14,0.6972958345700714,77.48091603053436,0.7879288031959788,0.7748091603053435,0.7657218572109765,0.13912264025402327,True,titanic,With Fine-Tuning
bayesian_neat_ft_final_v1_titanic,f3fcdf0c-8e5e-4680-b277-370d7de546c7,0.75,0.0,0.0,True,0.0001,0.5296225547790527,0.5476633310317993,0:30:16.539153,normal,106,15,38,13,0.6245888352451838,77.86259541984732,0.7779869946282161,0.7786259541984732,0.7766178442039022,0.13404001829309203,False,titanic,Without Fine-Tuning
bayesian_neat_ft_final_v1_titanic,f3fcdf0c-8e5e-4680-b277-370d7de546c7,0.75,0.0,0.0,True,0.0001,0.5002082586288452,0.5437182188034058,0:30:16.539153,normal,106,15,38,12,0.9643808397896726,77.86259541984732,0.7777559497081274,0.7786259541984732,0.777024212534549,0.10776087544019664,True,titanic,With Fine-Tuning
bayesian_neat_ft_final_v1_spambase,33409752-40ca-4634-9619-799bd972b4d4,0.75,0.0,0.0,True,1e-05,0.47509765625,0.46437984704971313,1:22:37.070350,timeout,140,10,60,4,0.47419219566510995,87.40225890529973,0.8736817045519872,0.8740225890529973,0.8737696384860425,0.0333063484784892,False,spambase,Without Fine-Tuning
bayesian_neat_ft_final_v1_spambase,33409752-40ca-4634-9619-799bd972b4d4,0.75,0.0,0.0,True,1e-05,0.47509765625,0.4642309248447418,1:22:37.070350,timeout,140,10,60,4,0.47419219566510995,87.48913987836664,0.8745732357659018,0.8748913987836664,0.8746640967727105,0.035740031142890434,True,spambase,With Fine-Tuning
bayesian_neat_ft_final_v1_spambase,40330810-eb2d-421d-9226-3d6686cdf103,0.75,0.0,0.0,True,1e-05,0.5098114609718323,0.5196899175643921,1:50:49.080700,timeout,236,24,94,8,0.4807355135928256,81.92875760208514,0.8213962378386461,0.8192875760208514,0.8156136459248013,0.08038971678922158,False,spambase,Without Fine-Tuning
bayesian_neat_ft_final_v1_spambase,40330810-eb2d-421d-9226-3d6686cdf103,0.75,0.0,0.0,True,1e-05,0.49870753288269043,0.5141364336013794,1:50:49.080700,timeout,512,70,186,23,0.979116714627973,89.5742832319722,0.8958923030436432,0.895742832319722,0.8950907877955084,0.05621851999979061,True,spambase,With Fine-Tuning
bayesian_neat_ft_final_v1_spambase,b5f8570e-0456-4e1d-a820-2484f3b6118e,0.75,0.0,0.0,True,1e-05,0.4923066794872284,0.485958069562912,2:05:38.634076,timeout,164,14,68,3,0.5127564553273743,86.44656820156385,0.8637328823797112,0.8644656820156386,0.8636323160463317,0.06055120214734206,False,spambase,Without Fine-Tuning
bayesian_neat_ft_final_v1_spambase,b5f8570e-0456-4e1d-a820-2484f3b6118e,0.75,0.0,0.0,True,1e-05,0.4888175129890442,0.4983813762664795,2:05:38.634076,timeout,536,76,192,24,0.9352970149207325,90.79061685490878,0.9076372548825241,0.9079061685490878,0.907480697704383,0.027847074379702467,True,spambase,With Fine-Tuning
bayesian_neat_ft_final_v1_spambase,be8f0a90-182b-4b9d-ab9e-451bdd94903d,0.75,0.0,0.0,True,1e-05,0.5074194669723511,0.5010571479797363,1:32:59.591522,timeout,152,11,65,3,0.5688406181002276,85.31711555169417,0.85258017383082,0.8531711555169418,0.8524569198868657,0.03000148761193163,False,spambase,Without Fine-Tuning
bayesian_neat_ft_final_v1_spambase,be8f0a90-182b-4b9d-ab9e-451bdd94903d,0.75,0.0,0.0,True,1e-05,0.481482595205307,0.5224384665489197,1:32:59.591522,timeout,456,62,166,14,0.9777212491330304,89.748045178106,0.8988793537766827,0.89748045178106,0.8963703476716377,0.06420972935351067,True,spambase,With Fine-Tuning
bayesian_neat_ft_final_v1_spambase,ff24d89a-3f0f-47d0-84e8-097359723569,0.75,0.0,0.0,True,1e-05,0.49697721004486084,0.5023090243339539,1:15:54.834899,timeout,142,9,62,4,0.3451399810526564,82.97132927888794,0.8364392512760518,0.8297132927888793,0.8249514872131111,0.10482095359190471,False,spambase,Without Fine-Tuning
bayesian_neat_ft_final_v1_spambase,ff24d89a-3f0f-47d0-84e8-097359723569,0.75,0.0,0.0,True,1e-05,0.49697721004486084,0.5022990107536316,1:15:54.834899,timeout,142,9,62,4,0.3451399810526564,83.05821025195482,0.8375770797226084,0.8305821025195482,0.8257831538080277,0.10515024941354102,True,spambase,With Fine-Tuning
bayesian_neat_ft_final_v1_mnist_downsampled,254b84de-5a0a-4a0f-ba79-9200e0a0ebef,0.75,0.0,0.0,True,5e-06,2.1851682662963867,2.185774564743042,1:22:36.596797,timeout,650,33,292,5,0.5658142109185615,37.519999999999996,0.48268441020369407,0.3752,0.32736654995856623,0.06970379478350282,False,mnist_downsampled,Without Fine-Tuning
bayesian_neat_ft_final_v1_mnist_downsampled,254b84de-5a0a-4a0f-ba79-9200e0a0ebef,0.75,0.0,0.0,True,5e-06,1.8588870763778687,2.241684675216675,1:22:36.596797,timeout,616,31,277,5,0.760775892223483,69.6,0.6934012758026807,0.696,0.6925607167219817,0.05483398483006955,True,mnist_downsampled,With Fine-Tuning
bayesian_neat_ft_final_v1_mnist_downsampled,5b138768-d4bf-4513-af6d-1ebae4b13703,0.75,0.0,0.0,True,5e-06,2.177672863006592,2.1799302101135254,1:20:20.677702,timeout,644,34,288,4,0.5428848270114133,39.519999999999996,0.36342025959278756,0.3952,0.31939915287510623,0.0697252753619589,False,mnist_downsampled,Without Fine-Tuning
bayesian_neat_ft_final_v1_mnist_downsampled,5b138768-d4bf-4513-af6d-1ebae4b13703,0.75,0.0,0.0,True,5e-06,1.9583179950714111,2.230029344558716,1:20:20.677702,timeout,644,34,288,4,0.8793443137046806,56.8,0.5216688908656902,0.568,0.5243581345862339,0.057030281208047866,True,mnist_downsampled,With Fine-Tuning
